state,action,supervisor_action
12121211,nothing,up
12121211,down,up
12121211,left,right
12121211,up,right
12121211,down,down
12121211,left,down
12121211,nothing,left
12121211,left,left
12121211,up,up
12121211,nothing,up
12121211,nothing,up
12121211,right,right
12121212,up,right
12121212,up,right
12121212,left,down
12121211,left,down
12121211,nothing,down
12121211,left,left
12121211,nothing,left
12121211,left,left
12121211,left,up
12121211,right,up
12121212,up,right
12121212,up,right
12121212,left,down
12121211,up,down
12121211,nothing,left
12121211,up,left
12121211,down,up
12121211,left,up
12121211,down,up
12121211,nothing,right
12121211,right,right
12121212,left,right
12121211,left,down
12121211,nothing,down
12121211,up,down
12121211,right,left
12121212,up,left
12121212,up,left
12121212,up,up
12121212,left,up
12121211,left,right
12121211,nothing,right
12121211,down,down
12121211,right,down
12121212,up,left
12121212,up,left
12121212,up,up
12121212,up,up
12121212,left,up
12121211,down,right
12121211,nothing,right
12121211,right,right
12121212,up,down
12121212,left,down
12121211,nothing,down
12121211,up,left
12121211,nothing,left
12121211,up,left
12121211,right,up
12121212,left,up
12121211,up,right
12121211,up,right
11121211,nothing,down
11121211,nothing,down
11121211,down,left
12121211,left,left
12121211,left,up
12121211,left,up
12121211,up,up
11121211,up,right
11121211,left,right
11121211,right,right
11121212,down,down
12121212,up,down
11121212,right,down
11121212,right,left
11121212,right,left
11121212,right,left
11121212,right,up
11121212,down,up
12121212,up,right
11121212,up,right
11121212,up,down
11121212,right,down
11121212,right,left
11122212,up,left
11122212,right,up
11121212,right,up
11121212,right,up
11121212,down,right
12121212,up,right
11121212,up,right
11121212,right,down
11121212,right,down
11121212,down,down
12121212,up,left
11121212,right,left
11121212,right,left
11121212,right,up
11121212,down,up
12121212,left,right
12121212,up,right
11121212,up,down
11121212,up,down
11121212,up,left
11121212,up,left
11121212,up,up
11121212,right,up
11121212,right,up
11121212,right,right
11121212,down,right
12121212,left,right
12121212,up,down
11121212,right,down
11121212,right,down
11121212,right,left
11121212,right,left
11121212,right,left
11122212,right,up
11121212,right,up
11121212,down,right
12121212,left,right
12121212,up,down
11121212,right,down
11121212,right,left
11121212,right,left
11121212,right,up
11121212,right,up
11121212,right,up
11121212,right,right
11111212,left,right
11121212,right,right
11111212,nothing,down
11111212,nothing,down
11111212,nothing,down
11111212,right,left
11111212,right,left
11111212,left,left
11121212,right,up
11111212,nothing,up
11111212,left,right
11121212,down,right
12121212,up,down
11121212,up,down
11121212,right,left
11111212,right,left
11111212,down,up
12111212,right,up
12111212,right,up
12111212,down,right
12111212,right,right
12111212,down,right
12111212,right,down
12111212,right,down
12111212,down,down
12111212,right,left
12111212,right,left
12111212,down,left
12111212,right,up
12111212,right,up
12111212,down,right
12111212,down,right
12111212,down,down
12111212,down,down
12111212,right,left
12111212,right,left
12111212,down,up
12111212,right,up
12111212,right,up
12111212,down,right
12111212,down,right
12111212,right,right
12111212,right,down
12111212,down,down
12111212,right,down
12111212,right,left
12111212,down,left
12111212,right,left
12111212,right,up
12111212,down,up
12111212,right,right
12111212,down,right
12111212,right,down
12111212,right,down
12111212,down,left
12111212,down,left
12111212,right,up
12111212,right,up
12111212,down,up
12111212,right,right
12111212,right,right
12111212,down,right
12111212,right,down
12111212,down,down
12111212,right,down
12111212,right,left
12111212,down,left
12111212,right,left
12111212,right,up
12111212,down,up
12111212,right,right
12111212,down,right
12111212,down,down
12111212,right,down
12111212,right,left
12111212,down,left
12111222,down,up
12111212,right,up
12111212,right,up
12111212,down,right
12111212,right,right
12111212,down,right
12111212,right,down
12111212,right,down
12111212,down,down
12111112,down,left
12111112,down,left
12111112,left,left
12121112,left,up
12121112,up,up
12121212,up,right
12121212,left,right
12121212,up,down
12121212,up,down
12121222,nothing,left
12121222,left,left
12121222,right,up
12121222,nothing,up
12121222,up,up
12121212,left,right
12121211,right,right
12121212,up,right
12121212,left,down
12121211,right,down
12121212,left,down
12121211,up,left
12121211,nothing,left
12121211,nothing,left
12121211,nothing,up
12121211,left,up
12121211,right,right
12121212,up,right
12121212,left,down
12121212,up,down
12121212,up,left
12121212,up,left
12121211,nothing,up
12121211,up,up
12121211,left,up
12121211,right,right
12121212,left,right
12121211,right,right
12121212,left,down
12121211,nothing,down
12121211,nothing,down
12121211,up,left
12121211,nothing,left
12121211,nothing,left
12121211,right,up
12121212,left,up
12121211,right,right
12121212,left,right
12121211,left,down
12121211,left,down
12121211,left,left
12121211,down,left
12121211,down,up
12121211,down,up
12121212,up,up
12121211,up,right
12121211,right,right
12121212,left,right
12121211,left,down
12121211,nothing,down
12121211,up,down
12121211,up,left
12121212,left,left
12121112,left,left
12121112,left,up
12121112,left,up
22122111,left,right
22122111,right,right
12121112,left,down
22122111,down,down
22111211,left,left
22111211,nothing,left
22111211,nothing,up
22111211,up,up
22121211,left,up
22121211,down,right
22111211,left,right
22111211,up,right
22121211,right,down
12121112,left,down
22121211,right,down
12121112,down,left
12121112,left,left
22121211,right,left
12121112,down,up
12121112,left,up
22121211,left,right
22121211,right,right
12121112,left,down
22121211,down,down
22111211,up,left
22121211,left,left
22121211,right,up
12121112,down,up
12121112,left,up
22121211,left,right
22121211,nothing,right
22121211,right,right
12121112,down,down
12121112,down,down
12121112,left,down
22121211,right,left
12121112,down,left
12121112,left,left
22121211,left,up
22121211,down,up
22111211,down,right
22111211,down,right
22111211,left,down
22111211,right,down
22111211,up,left
22111211,up,left
22111211,right,up
22111211,left,up
22111211,left,up
22111211,up,right
22121211,nothing,right
22121211,nothing,right
22121211,down,down
22111211,down,down
22111211,down,down
22111211,right,left
22111211,up,left
22111211,nothing,left
22111211,up,up
22111211,left,up
22111211,up,right
22121211,left,right
22121211,left,down
22121211,nothing,down
22121211,nothing,left
22121211,down,left
22111211,right,up
22111211,up,up
