state,action,supervisor_action
12121212,left,up
22121212,up,up
22121222,up,right
22121211,up,right
22121211,right,down
12121212,right,down
12121212,right,left
12111212,down,left
12111212,down,up
12111222,down,up
12111212,left,up
12121212,left,right
12121212,left,right
22121212,up,right
22121222,up,down
22121211,right,down
12121212,right,down
12121212,down,left
12121222,down,left
12121212,left,left
12121212,left,up
22121212,up,up
22121222,up,right
22121211,up,right
22121211,right,down
12121212,right,down
12121212,right,left
12111212,down,left
12111212,down,up
12111222,down,up
12111212,left,up
12121212,left,right
12121212,left,right
22121212,up,right
22121222,up,down
22121211,right,down
12121212,right,down
12121212,down,left
12121222,down,left
12121212,left,left
12121212,left,up
22121212,up,up
22121222,up,right
22121211,up,right
22121211,right,down
12121212,right,down
12121212,right,left
12111212,down,left
12111212,down,up
12111222,down,up
12111212,left,up
12121212,left,right
12121212,left,right
22121212,up,right
22121222,up,down
22121211,right,down
12121212,right,down
12121212,down,left
12121222,down,left
12121212,left,left
12121212,left,up
22121212,up,up
22121222,up,right
22121211,up,right
22121211,right,down
12121212,right,down
12121212,right,left
12111212,down,left
12111212,down,up
12111222,down,up
12111212,left,up
12121212,left,right
12121212,left,right
22121212,up,right
22121222,up,down
22121211,right,down
12121212,right,down
12121212,down,left
12121222,down,left
12121212,left,left
12121212,left,up
22121212,up,up
22121222,up,right
22121211,up,right
22121211,right,down
12121212,right,down
12121212,right,left
12111212,down,left
12111212,down,up
12111222,down,up
12111212,left,up
12121212,left,right
12121212,left,right
22121212,up,right
22121222,up,down
22121211,right,down
12121212,right,down
12121212,down,left
12121222,down,left
12121212,left,left
12121212,left,up
22121212,up,up
22121222,up,right
22121211,up,right
22121211,right,down
12121212,right,down
12121212,right,left
12111212,down,left
12111212,down,up
12111222,down,up
12111212,left,up
12121212,left,right
12121212,left,right
22121212,up,right
22121222,up,down
22121211,right,down
12121212,right,down
12121212,down,left
12121222,down,left
12121212,left,left
12121212,left,up
22121212,up,up
22121222,up,right
22121211,up,right
22121211,right,down
12121212,right,down
12121212,right,left
12111212,down,left
12111212,down,up
12111222,down,up
12111212,left,up
12121212,left,right
12121212,left,right
22121212,up,right
22121222,up,down
22121211,right,down
12121212,right,down
12121212,down,left
12121222,down,left
12121212,left,left
12121212,left,up
22121212,up,up
22121222,up,right
22121211,up,right
22121211,right,down
12121212,right,down
12121212,right,left
12111212,down,left
12111212,down,up
12111222,down,up
12111212,left,up
12121212,left,right
12121212,left,right
22121212,up,right
22121222,up,down
22121211,right,down
12121212,right,down
12121212,down,left
12121222,down,left
12121212,left,left
12121212,left,up
22121212,up,up
22121222,up,right
22121211,up,right
22121211,right,down
12121212,right,down
12121212,right,left
12111212,down,left
12111212,down,up
12111222,down,up
12111212,left,up
12121212,left,right
12121212,left,right
22121212,up,right
22121222,up,down
22121211,right,down
12121212,right,down
12121212,down,left
12121222,down,left
12121212,left,left
12121212,left,up
22121212,up,up
22121222,up,right
22121211,up,right
22121211,right,down
12121212,right,down
12121212,right,left
12111212,down,left
12111212,down,up
12111222,down,up
12111212,left,up
12121212,left,right
12121212,left,right
22121212,up,right
22121222,up,down
22121211,right,down
12121212,right,down
12121212,down,left
12121222,down,left
12121212,left,left
12121212,left,up
22121212,up,up
22121222,up,right
22121211,up,right
22121211,right,down
12121212,right,down
12121212,right,left
12111212,down,left
12111212,down,up
12111222,down,up
12111212,left,up
12121212,left,right
12121212,left,right
22121212,up,right
22121222,up,down
22121211,right,down
12121212,right,down
12121212,down,left
12121222,down,left
12121212,left,left
12121212,left,up
22121212,up,up
22121222,up,right
22121211,up,right
22121211,right,down
12121212,right,down
12121212,right,left
12111212,down,left
12111212,down,up
12111222,down,up
12111212,left,up
12121212,left,right
12121212,left,right
22121212,up,right
22121222,up,down
22121211,right,down
12121212,right,down
12121212,down,left
12121222,down,left
12121212,left,left
12121212,left,up
22121212,up,up
22121222,up,right
22121211,up,right
22121211,right,down
12121212,right,down
12121212,right,left
12111212,down,left
12111212,down,up
12111222,down,up
12111212,left,up
12121212,left,right
12121212,left,right
22121212,up,right
22121222,up,down
22121211,right,down
12121212,right,down
12121212,down,left
12121222,down,left
12121212,left,left
12121212,left,up
22121212,up,up
22121222,up,right
22121211,up,right
22121211,right,down
12121212,right,down
12121212,right,left
12111212,down,left
12111212,down,up
12111222,down,up
12111212,left,up
12121212,left,right
12121212,left,right
22121212,up,right
22121222,up,down
22121211,right,down
12121212,right,down
12121212,down,left
12121222,down,left
12121212,left,left
12121212,left,up
22121212,up,up
22121222,up,right
22121211,up,right
22121211,right,down
