state,action,supervisor_action
11122212,up,up
11122212,right,right
11121212,down,down
12221212,left,left
12222212,up,up
11122212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122111,up,up
12222212,right,right
12221212,down,down
12111212,left,left
12122111,up,up
12222212,up,right
11122212,right,right
11121212,down,down
12221212,down,left
12111212,left,left
