state,action,supervisor_action
11122211,up,up
11122211,right,right
11121212,down,down
12221212,left,left
12222211,up,up
11122211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
12111212,left,left
12122211,up,up
12222211,up,right
11122211,right,right
11121212,down,down
12221212,down,left
12111212,left,left
12122211,up,up
12222211,right,right
12221212,down,down
