state,action,supervisor_action
11122212,left,down
11121212,nothing,nothing
11121212,up,down
11121212,up,up
11121212,nothing,nothing
11121212,right,nothing
11122212,up,down
11122212,nothing,down
11122212,nothing,left
11122212,down,up
12222212,up,nothing
11122212,up,left
11122212,down,right
12222212,down,nothing
12122111,left,nothing
12122111,right,up
12111212,up,down
12221212,up,right
11121212,right,right
11121212,right,up
11122112,right,left
11111212,up,up
11111212,up,down
11111212,down,nothing
12111221,right,up
12111221,down,up
12111211,down,up
12111211,left,left
12111211,right,right
12111211,right,nothing
12111211,right,nothing
12111211,left,right
12111211,left,left
12111211,right,nothing
12111211,up,down
12111211,left,nothing
12111211,nothing,down
12111211,right,down
12111211,down,up
12111211,left,up
12111211,left,left
12111211,left,up
12111211,right,nothing
12111211,down,nothing
12111211,up,right
12111211,down,right
12111211,up,down
12111211,down,down
12111211,nothing,down
12111211,down,nothing
12111211,left,left
12111211,nothing,left
12111211,left,up
12111211,up,left
12111211,right,down
12111211,right,left
12111211,up,nothing
12111211,up,nothing
12111211,up,up
12111221,up,up
11111212,down,right
12111221,right,down
12111221,down,up
12111211,down,right
12111211,left,up
12111211,right,right
12111211,right,down
12111211,right,right
12111211,left,up
12111211,left,right
12111211,right,up
12111211,up,up
12111211,left,down
12111211,nothing,nothing
12111211,right,right
12111211,down,down
12111211,left,down
12111211,left,nothing
12111211,left,down
12111211,right,right
12111211,down,nothing
12111211,up,up
12111211,down,up
12111211,up,left
12111211,down,right
12111211,nothing,right
12111211,down,nothing
12111211,left,right
12111211,nothing,down
12111211,left,right
12111211,up,down
12111211,right,up
12111211,right,up
12111211,up,left
12111211,up,down
12111211,up,right
12111221,up,up
11111212,down,down
12111221,right,nothing
12111221,down,down
12111211,down,down
12111211,left,nothing
12111211,right,down
12111211,right,nothing
12111211,right,down
12111211,left,nothing
12111211,left,down
12111211,right,down
12111211,up,left
12111211,left,left
12111211,nothing,up
12111211,right,right
12111211,down,down
12111211,left,left
12111211,left,nothing
12111211,left,right
12111211,right,nothing
12111211,down,nothing
12111211,up,nothing
12111211,down,nothing
12111211,up,nothing
12111211,down,left
12111211,nothing,up
12111211,down,down
12111211,left,right
12111211,nothing,left
12111211,left,nothing
12111211,up,left
12111211,right,down
12111211,right,up
12111211,up,down
12111211,up,right
12111211,up,up
12111221,up,right
11111212,down,up
12111221,right,down
12111221,down,down
12111211,down,down
12111211,left,left
12111211,right,down
12111211,right,up
12111211,right,up
12111211,left,nothing
12111211,left,left
12111211,right,nothing
12111211,up,left
12111211,left,left
12111211,nothing,up
12111211,right,right
12111211,down,left
12111211,left,left
12111211,left,nothing
12111211,left,right
12111211,right,left
12111211,down,right
12111211,up,left
12111211,down,up
12111211,up,nothing
12111211,down,right
12111211,nothing,left
12111211,down,up
12111211,left,down
12111211,nothing,up
12111211,left,left
12111211,up,right
12111211,right,right
12111211,right,up
12111211,up,up
12111211,up,left
12111211,up,right
12111221,up,down
11111212,down,left
12111221,right,right
12111221,down,left
12111211,down,nothing
12111211,left,down
12111211,right,left
12111211,right,up
12111211,right,right
12111211,left,down
12111211,left,up
12111211,right,nothing
12111211,up,down
12111211,left,right
12111211,nothing,left
12111211,right,nothing
12111211,down,left
12111211,left,down
12111211,left,up
12111211,left,up
12111211,right,nothing
12111211,down,down
12111211,up,right
12111211,down,nothing
12111211,up,up
12111211,down,down
12111211,nothing,nothing
12111211,down,left
12111211,left,nothing
12111211,nothing,left
12111211,left,nothing
12111211,up,up
12111211,right,down
12111211,right,up
12111211,up,down
12111211,up,right
12111211,up,down
12111221,up,right
11111212,down,nothing
12111221,right,up
12111221,down,down
12111211,down,right
12111211,left,right
12111211,right,right
12111211,right,nothing
12111211,right,nothing
12111211,left,down
12111211,left,left
12111211,right,right
12111211,up,up
12111211,left,left
12111211,nothing,up
12111211,right,down
12111211,down,up
12111211,left,left
12111211,left,down
12111211,left,nothing
12111211,right,up
12111211,down,right
12111211,up,nothing
12111211,down,nothing
12111211,up,right
12111211,down,right
12111211,nothing,nothing
12111211,down,down
12111211,left,down
12111211,nothing,right
12111211,left,left
12111211,up,nothing
12111211,right,nothing
12111211,right,down
12111211,up,up
12111211,up,up
12111211,up,left
12111221,up,right
11111212,down,up
12111221,right,up
12111221,down,up
12111211,down,up
12111211,left,up
12111211,right,up
12111211,right,down
12111211,right,right
12111211,left,down
12111211,left,nothing
12111211,right,left
12111211,up,left
12111211,left,right
12111211,nothing,up
12111211,right,nothing
12111211,down,up
12111211,left,down
12111211,left,left
12111211,left,right
12111211,right,down
12111211,down,down
12111211,up,left
12111211,down,left
12111211,up,right
12111211,down,right
12111211,nothing,left
12111211,down,left
12111211,left,nothing
12111211,nothing,right
12111211,left,left
12111211,up,down
12111211,right,down
12111211,right,left
12111211,up,down
12111211,up,nothing
12111211,up,nothing
12111221,up,left
11111212,down,right
12111221,right,right
12111221,down,right
12111211,down,down
12111211,left,right
12111211,right,down
12111211,right,nothing
12111211,right,nothing
12111211,left,nothing
12111211,left,up
12111211,right,down
12111211,up,up
12111211,left,left
12111211,nothing,right
12111211,right,left
12111211,down,right
12111211,left,down
12111211,left,right
12111211,left,right
12111211,right,right
12111211,down,right
12111211,up,left
12111211,down,down
12111211,up,down
12111211,down,up
12111211,nothing,nothing
12111211,down,right
12111211,left,nothing
12111211,nothing,right
12111211,left,down
12111211,up,left
12111211,right,nothing
12111211,right,up
12111211,up,down
12111211,up,right
12111211,up,up
12111221,up,nothing
11111212,down,right
12111221,right,right
12111221,down,left
12111211,down,left
12111211,left,left
12111211,right,left
12111211,right,up
12111211,right,right
12111211,left,up
12111211,left,up
12111211,right,down
12111211,up,left
12111211,left,down
12111211,nothing,left
12111211,right,nothing
12111211,down,nothing
12111211,left,nothing
12111211,left,down
12111211,left,right
12111211,right,up
12111211,down,up
12111211,up,left
12111211,down,down
12111211,up,nothing
12111211,down,right
12111211,nothing,nothing
12111211,down,down
12111211,left,up
12111211,nothing,left
12111211,left,left
12111211,up,right
12111211,right,down
12111211,right,up
12111211,up,left
12111211,up,right
12111211,up,up
12111221,up,right
11111212,down,left
12111221,right,nothing
12111221,down,down
12111211,down,down
12111211,left,right
12111211,right,right
12111211,right,nothing
12111211,right,left
12111211,left,nothing
12111211,left,nothing
12111211,right,down
12111211,up,left
12111211,left,up
12111211,nothing,up
12111211,right,right
12111211,down,right
12111211,left,down
12111211,left,left
12111211,left,down
12111211,right,right
12111211,down,right
12111211,up,up
12111211,down,nothing
12111211,up,down
12111211,down,nothing
12111211,nothing,left
12111211,down,down
12111211,left,down
12111211,nothing,left
12111211,left,right
12111211,up,left
12111211,right,left
12111211,right,down
12111211,up,up
12111211,up,up
12111211,up,up
12111221,up,right
11111212,down,nothing
12111221,right,down
12111221,down,right
12111211,down,left
12111211,left,down
12111211,right,down
12111211,right,nothing
12111211,right,down
12111211,left,down
12111211,left,right
12111211,right,nothing
12111211,up,up
12111211,left,left
12111211,nothing,right
12111211,right,right
12111211,down,right
12111211,left,right
12111211,left,nothing
12111211,left,nothing
12111211,right,left
12111211,down,nothing
12111211,up,down
12111211,down,down
12111211,up,down
12111211,down,left
12111211,nothing,up
12111211,down,left
12111211,left,right
12111211,nothing,nothing
12111211,left,down
12111211,up,nothing
12111211,right,right
12111211,right,nothing
12111211,up,down
12111211,up,down
12111211,up,down
12111221,up,up
11111212,down,right
12111221,right,down
12111221,down,nothing
12111211,down,up
12111211,left,right
12111211,right,nothing
12111211,right,up
12111211,right,down
12111211,left,left
12111211,left,up
12111211,right,right
12111211,up,down
12111211,left,right
12111211,nothing,up
12111211,right,right
12111211,down,up
12111211,left,left
12111211,left,left
12111211,left,left
