state,action,supervisor_action
11122211,right,up
11121212,up,right
11121212,right,up
11121212,left,left
11121212,down,down
12221212,right,nothing
12221112,right,nothing
12221112,down,left
12221112,left,down
12221112,down,down
12221112,down,left
12221112,up,down
11121212,nothing,up
11121212,left,right
11121212,right,right
11121212,up,nothing
11121212,down,nothing
12221112,left,down
12221212,nothing,down
12221212,up,left
11121212,up,right
11121212,nothing,up
11121212,right,right
11121212,up,left
11121212,right,up
11121212,nothing,down
11121212,up,left
11121212,up,down
11121212,up,nothing
11121212,down,up
12221112,left,right
12221112,down,left
12221112,up,up
11121212,left,nothing
11121212,left,down
11122211,nothing,left
11122211,nothing,nothing
11122211,up,nothing
11122211,down,right
12222211,nothing,right
12222211,down,down
12122211,up,down
12222211,left,down
12222211,down,up
12122211,up,nothing
12222211,left,up
12222211,down,right
12122211,up,up
12222211,left,up
12222211,down,down
12122211,up,up
12222211,left,up
12222211,down,right
12122211,up,down
12222211,left,right
12222211,down,down
12122211,up,left
12222211,left,up
12222211,down,right
12122211,up,up
12222211,left,down
12222211,down,up
12122211,up,down
12222211,left,nothing
12222211,down,down
12122211,up,left
12222211,left,nothing
12222211,down,right
12122211,up,left
12222211,left,left
12222211,down,left
12122211,up,right
12222211,left,right
12222211,down,up
12122211,up,up
12222211,left,up
12222211,down,up
12122211,up,down
12222211,left,nothing
12222211,down,left
12122211,up,down
12222211,left,right
12222211,down,down
12122211,up,nothing
12222211,left,up
12222211,down,nothing
12122211,up,right
12222211,left,right
12222211,down,right
12122211,up,down
12222211,left,right
12222211,down,nothing
12122211,up,up
12222211,left,up
12222211,down,down
12122211,up,down
12222211,left,up
12222211,down,right
12122211,up,right
12222211,left,down
12222211,down,up
12122211,up,up
12222211,left,down
12222211,down,down
12122211,up,up
12222211,left,up
12222211,down,left
12122211,up,up
12222211,left,nothing
12222211,down,nothing
12122211,up,up
12222211,left,down
12222211,down,up
12122211,up,right
12222211,left,up
12222211,down,left
12122211,up,nothing
12222211,left,up
12222211,down,up
12122211,up,down
12222211,left,left
12222211,down,left
12122211,up,left
12222211,left,left
12222211,down,down
12122211,up,left
12222211,left,down
12222211,down,up
12122211,up,nothing
12222211,left,down
12222211,down,right
12122211,up,down
12222211,left,nothing
12222211,down,left
12122211,up,up
12222211,left,up
12222211,down,up
12122211,up,right
12222211,left,nothing
12222211,down,nothing
12122211,up,up
12222211,left,up
12222211,down,up
12122211,up,down
12222211,left,down
12222211,down,nothing
12122211,up,left
12222211,left,nothing
12222211,down,nothing
12122211,up,left
12222211,left,up
12222211,down,nothing
12122211,up,up
12222211,left,down
12222211,down,down
12122211,up,right
12222211,left,left
12222211,down,nothing
12122211,up,left
12222211,left,left
12222211,down,up
12122211,up,left
12222211,left,down
12222211,down,left
12122211,up,right
12222211,left,down
12222211,down,left
12122211,up,right
12222211,left,right
12222211,down,nothing
12122211,up,down
12222211,left,right
12222211,down,nothing
12122211,up,down
12222211,left,nothing
12222211,down,down
12122211,up,nothing
12222211,left,nothing
12222211,down,up
12122211,up,left
12222211,left,right
12222211,down,left
12122211,up,up
12222211,left,right
12222211,down,down
12122211,up,up
12222211,left,nothing
12222211,down,right
12122211,up,up
12222211,left,right
12222211,down,right
12122211,up,right
12222211,left,up
12222211,down,right
12122211,up,nothing
12222211,left,down
12222211,down,nothing
12122211,up,up
12222211,left,down
12222211,down,down
12122211,up,nothing
12222211,left,left
12222211,down,left
12122211,up,nothing
12222211,left,nothing
12222211,down,up
12122211,up,left
12222211,left,up
12222211,down,right
12122211,up,left
12222211,left,up
12222211,down,up
12122211,up,left
12222211,left,left
12222211,down,right
12122211,up,down
12222211,left,down
12222211,down,right
12122211,up,up
12222211,left,up
12222211,down,left
12122211,up,down
12222211,left,right
12222211,down,left
12122211,up,left
12222211,left,nothing
12222211,down,up
12122211,up,nothing
12222211,left,down
12222211,down,left
12122211,up,nothing
12222211,left,up
12222211,down,nothing
12122211,up,nothing
12222211,left,right
12222211,down,left
12122211,up,left
12222211,left,up
12222211,down,left
12122211,up,down
12222211,left,left
12222211,down,left
12122211,up,left
12222211,left,right
12222211,down,left
12122211,up,left
12222211,left,up
12222211,down,nothing
12122211,up,up
12222211,left,nothing
12222211,down,left
12122211,up,right
12222211,left,right
12222211,down,up
12122211,up,left
12222211,left,up
12222211,down,right
12122211,up,down
12222211,left,nothing
12222211,down,nothing
12122211,up,up
12222211,left,up
12222211,down,right
12122211,up,right
12222211,left,right
12222211,down,down
12122211,up,up
12222211,left,right
12222211,down,up
12122211,up,up
12222211,left,left
12222211,down,nothing
12122211,up,up
12222211,left,down
12222211,down,left
12122211,up,up
12222211,left,left
12222211,down,right
12122211,up,up
12222211,left,left
12222211,down,nothing
12122211,up,right
12222211,left,down
12222211,down,up
12122211,up,left
12222211,left,nothing
12222211,down,up
12122211,up,down
12222211,left,down
12222211,down,up
12122211,up,left
12222211,left,nothing
12222211,down,right
12122211,up,up
12222211,left,right
12222211,down,nothing
12122211,up,nothing
12222211,left,nothing
12222211,down,left
12122211,up,left
12222211,left,left
12222211,down,right
12122211,up,up
12222211,left,up
12222211,down,down
12122211,up,left
12222211,left,nothing
12222211,down,down
12122211,up,down
12222211,left,nothing
12222211,down,left
12122211,up,left
12222211,left,down
12222211,down,down
12122211,up,up
12222211,left,up
12222211,down,down
12122211,up,right
12222211,left,right
12222211,down,up
12122211,up,down
12222211,left,nothing
12222211,down,right
12122211,up,down
12222211,left,up
12222211,down,right
12122211,up,right
12222211,left,down
12222211,down,down
12122211,up,nothing
12222211,left,left
12222211,down,left
12122211,up,right
12222211,left,up
12222211,down,left
12122211,up,nothing
12222211,left,up
12222211,down,left
12122211,up,left
12222211,left,left
12222211,down,down
12122211,up,nothing
12222211,left,right
12222211,down,up
12122211,up,down
12222211,left,left
12222211,down,up
12122211,up,down
12222211,left,left
12222211,down,left
12122211,up,down
12222211,left,left
12222211,down,down
12122211,up,down
12222211,left,down
12222211,down,down
12122211,up,down
12222211,left,left
12222211,down,left
12122211,up,down
12222211,left,down
12222211,down,up
12122211,up,right
12222211,left,left
12222211,down,down
12122211,up,nothing
12222211,left,down
12222211,down,left
12122211,up,right
12222211,left,right
12222211,down,nothing
12122211,up,nothing
12222211,left,left
12222211,down,up
12122211,up,up
12222211,left,right
12222211,down,right
12122211,up,left
12222211,left,right
12222211,down,left
12122211,up,nothing
12222211,left,up
12222211,down,right
12122211,up,right
12222211,left,left
12222211,down,right
12122211,up,right
12222211,left,up
12222211,down,nothing
12122211,up,up
12222211,left,right
12222211,down,down
12122211,up,nothing
12222211,left,right
12222211,down,up
12122211,up,right
12222211,left,nothing
12222211,down,down
12122211,up,down
12222211,left,left
12222211,down,down
12122211,up,down
12222211,left,nothing
12222211,down,left
12122211,up,nothing
12222211,left,up
12222211,down,left
12122211,up,down
12222211,left,down
12222211,down,left
12122211,up,up
12222211,left,nothing
12222211,down,right
12122211,up,left
12222211,left,nothing
12222211,down,up
12122211,up,up
12222211,left,nothing
12222211,down,nothing
12122211,up,nothing
12222211,left,up
12222211,down,right
12122211,up,down
12222211,left,right
12222211,down,nothing
12122211,up,right
12222211,left,down
12222211,down,down
12122211,up,right
12222211,left,right
12222211,down,right
12122211,up,up
12222211,left,nothing
12222211,down,left
12122211,up,left
12222211,left,left
12222211,down,down
12122211,up,up
12222211,left,left
12222211,down,left
12122211,up,up
12222211,left,right
12222211,down,nothing
12122211,up,left
12222211,left,left
12222211,down,down
12122211,up,down
12222211,left,down
12222211,down,nothing
12122211,up,down
12222211,left,down
12222211,down,left
12122211,up,right
12222211,left,right
12222211,down,right
12122211,up,down
12222211,left,up
12222211,down,nothing
12122211,up,down
12222211,left,nothing
12222211,down,down
12122211,up,nothing
12222211,left,nothing
12222211,down,left
12122211,up,up
12222211,left,left
12222211,down,right
12122211,up,left
12222211,left,right
12222211,down,down
12122211,up,nothing
12222211,left,up
12222211,down,left
12122211,up,nothing
12222211,left,right
12222211,down,right
12122211,up,up
12222211,left,nothing
12222211,down,left
12122211,up,right
12222211,left,left
12222211,down,nothing
12122211,up,down
12222211,left,right
12222211,down,right
12122211,up,up
12222211,left,down
12222211,down,right
12122211,up,left
12222211,left,nothing
12222211,down,right
12122211,up,nothing
12222211,left,down
12222211,down,nothing
12122211,up,left
12222211,left,right
12222211,down,nothing
12122211,up,right
12222211,left,nothing
12222211,down,right
12122211,up,right
12222211,left,up
12222211,down,nothing
12122211,up,left
12222211,left,left
12222211,down,down
12122211,up,down
12222211,left,left
12222211,down,nothing
12122211,up,nothing
12222211,left,down
12222211,down,left
12122211,up,down
12222211,left,right
12222211,down,down
12122211,up,nothing
12222211,left,down
12222211,down,down
12122211,up,right
12222211,left,left
12222211,down,up
12122211,up,right
12222211,left,down
12222211,down,up
12122211,up,left
12222211,left,right
12222211,down,left
12122211,up,nothing
12222211,left,nothing
12222211,down,down
12122211,up,nothing
12222211,left,left
12222211,down,left
12122211,up,up
12222211,left,left
12222211,down,down
12122211,up,up
12222211,left,nothing
12222211,down,up
12122211,up,right
12222211,left,up
12222211,down,left
12122211,up,up
12222211,left,right
12222211,down,left
12122211,up,nothing
12222211,left,right
12222211,down,up
12122211,up,down
12222211,left,up
12222211,down,up
12122211,up,up
12222211,left,nothing
12222211,down,nothing
12122211,up,right
12222211,left,down
12222211,down,left
12122211,up,left
12222211,left,nothing
12222211,down,left
12122211,up,nothing
12222211,left,down
12222211,down,nothing
12122211,up,right
12222211,left,left
12222211,down,right
12122211,up,up
12222211,left,up
12222211,down,down
12122211,up,right
12222211,left,down
12222211,down,nothing
12122211,up,up
12222211,left,nothing
12222211,down,nothing
12122211,up,up
12222211,left,left
12222211,down,down
12122211,up,right
12222211,left,right
12222211,down,down
12122211,up,down
12222211,left,down
12222211,down,up
12122211,up,down
12222211,left,left
12222211,down,nothing
12122211,up,up
12222211,left,up
12222211,down,down
12122211,up,down
12222211,left,nothing
12222211,down,left
12122211,up,left
12222211,left,left
12222211,down,down
12122211,up,nothing
12222211,left,left
12222211,down,up
12122211,up,right
12222211,left,up
12222211,down,left
12122211,up,right
12222211,left,up
12222211,down,nothing
12122211,up,nothing
12222211,left,right
12222211,down,nothing
12122211,up,up
12222211,left,nothing
12222211,down,up
12122211,up,down
12222211,left,up
12222211,down,up
12122211,up,down
12222211,left,nothing
12222211,down,down
12122211,up,down
12222211,left,down
12222211,down,right
12122211,up,down
12222211,left,up
12222211,down,left
12122211,up,down
12222211,left,left
12222211,down,down
12122211,up,right
12222211,left,left
12222211,down,right
12122211,up,left
12222211,left,up
12222211,down,left
12122211,up,down
12222211,left,right
12222211,down,down
12122211,up,down
12222211,left,right
12222211,down,left
12122211,up,nothing
12222211,left,left
12222211,down,left
12122211,up,down
12222211,left,left
12222211,down,down
12122211,up,up
12222211,left,right
12222211,down,up
12122211,up,up
12222211,left,right
12222211,down,right
12122211,up,down
12222211,left,right
12222211,down,down
12122211,up,left
12222211,left,nothing
12222211,down,left
12122211,up,right
12222211,left,up
12222211,down,nothing
12122211,up,nothing
12222211,left,nothing
12222211,down,down
12122211,up,down
12222211,left,left
12222211,down,nothing
12122211,up,right
12222211,left,left
12222211,down,left
12122211,up,nothing
12222211,left,right
12222211,down,right
12122211,up,left
12222211,left,up
12222211,down,down
12122211,up,nothing
12222211,left,left
12222211,down,left
12122211,up,down
12222211,left,left
12222211,down,down
12122211,up,up
12222211,left,nothing
12222211,down,down
12122211,up,left
12222211,left,up
12222211,down,up
12122211,up,right
12222211,left,up
12222211,down,right
12122211,up,down
12222211,left,up
12222211,down,up
12122211,up,down
12222211,left,left
12222211,down,right
12122211,up,up
12222211,left,up
12222211,down,right
12122211,up,up
12222211,left,nothing
12222211,down,nothing
12122211,up,up
12222211,left,up
12222211,down,nothing
12122211,up,up
12222211,left,left
12222211,down,nothing
12122211,up,up
12222211,left,down
12222211,down,nothing
12122211,up,left
12222211,left,down
12222211,down,nothing
12122211,up,up
12222211,left,up
12222211,down,nothing
12122211,up,left
12222211,left,down
12222211,down,down
12122211,up,down
12222211,left,right
12222211,down,left
12122211,up,down
12222211,left,up
12222211,down,right
12122211,up,right
12222211,left,up
12222211,down,up
12122211,up,up
12222211,left,up
12222211,down,up
12122211,up,up
12222211,left,nothing
12222211,down,nothing
12122211,up,nothing
12222211,left,nothing
12222211,down,right
12122211,up,up
12222211,left,right
12222211,down,up
12122211,up,left
12222211,left,left
12222211,down,down
12122211,up,right
12222211,left,nothing
12222211,down,nothing
12122211,up,down
12222211,left,left
12222211,down,up
12122211,up,right
12222211,left,nothing
12222211,down,left
12122211,up,right
12222211,left,down
12222211,down,nothing
12122211,up,down
12222211,left,right
12222211,down,left
12122211,up,right
12222211,left,left
12222211,down,right
12122211,up,right
12222211,left,left
12222211,down,up
12122211,up,left
12222211,left,nothing
12222211,down,down
12122211,up,right
12222211,left,down
12222211,down,nothing
12122211,up,nothing
12222211,left,nothing
12222211,down,right
12122211,up,right
12222211,left,right
12222211,down,down
12122211,up,up
12222211,left,left
12222211,down,up
