state,action,supervisor_action
11121212,down,up
12221212,nothing,nothing
12221212,left,nothing
12221112,right,down
12221212,down,left
12121211,left,nothing
12121211,down,right
12121211,up,right
12121211,right,left
12111212,nothing,down
12111212,up,right
12221212,down,down
12111212,down,left
12111212,nothing,left
12111212,left,up
12121211,left,up
12121211,left,nothing
12121211,nothing,up
12121211,right,down
12111212,nothing,right
12111212,down,down
12111212,down,right
12111212,nothing,nothing
12111212,nothing,nothing
12111212,nothing,nothing
12111212,up,right
12111212,up,down
12111212,up,right
12111212,right,down
12111212,down,down
12111212,right,nothing
12111212,nothing,nothing
12111212,down,left
12111212,up,right
12111212,up,nothing
12111212,left,up
12121211,down,down
12121211,nothing,nothing
12121211,nothing,right
12121211,nothing,nothing
12121211,right,up
12111212,nothing,right
12111212,right,nothing
12111212,right,right
12111212,left,up
12121211,nothing,left
12121211,down,left
12121211,up,up
12121211,down,nothing
12121211,left,left
12121211,left,right
12121211,nothing,right
12121211,nothing,left
12121211,up,down
12121211,down,down
12121211,nothing,down
12121211,up,down
12121211,up,down
12121211,left,left
12121211,down,up
12121211,left,down
12121211,left,right
12121211,right,nothing
12111212,down,nothing
12111212,left,down
12121211,nothing,nothing
12121211,down,down
12121211,right,nothing
12111212,nothing,up
12111212,right,up
12111212,right,nothing
12111212,down,up
12121222,right,down
11121222,right,nothing
11121222,down,right
12121112,nothing,nothing
12121112,up,right
11121222,up,nothing
11121222,nothing,up
11121222,left,left
11121222,up,down
11121222,down,nothing
12121112,left,up
12121112,nothing,left
12121112,down,down
12121112,down,right
12121112,down,right
12121112,right,down
12121112,right,nothing
12121112,down,down
12121112,left,up
12121112,down,right
12121112,left,up
12121112,down,right
12121112,right,right
12121112,up,right
11121222,down,right
12121112,right,nothing
12121112,nothing,up
12121112,down,up
12121112,up,nothing
11121222,nothing,right
11121222,left,up
11121222,nothing,down
11121222,up,nothing
11121222,right,down
11121222,nothing,down
11121222,nothing,up
11121222,down,nothing
12121112,nothing,nothing
12121112,left,up
12121112,left,up
12121112,up,down
12121222,nothing,right
12121222,up,right
12111212,left,nothing
12121211,down,left
12121222,nothing,down
12121222,left,left
11121222,down,right
12121112,right,left
12121112,left,right
12121112,left,right
12121112,down,down
12121112,left,nothing
21121111,right,up
12121112,nothing,down
12121112,left,left
21121111,nothing,right
21121111,left,down
21121111,down,down
21121111,right,right
12121112,up,left
11121221,down,left
12121112,nothing,nothing
12121112,nothing,down
12121112,nothing,up
12121112,nothing,up
12121112,right,up
12121112,right,left
12121112,up,nothing
12121222,nothing,left
12121222,up,down
12121211,up,down
12121211,down,up
12121211,left,up
12121211,right,left
12111212,left,left
12121211,nothing,left
12121211,down,nothing
12121222,nothing,right
12121222,down,down
12121112,up,right
12121222,up,up
12121211,left,up
12121211,nothing,right
12121211,nothing,down
12121211,up,down
12121211,nothing,nothing
12121211,left,down
12121211,down,nothing
12121211,up,left
12121211,nothing,left
12121211,right,left
12111212,nothing,down
12111212,left,right
12121211,left,up
12121211,nothing,down
12121211,nothing,right
12121211,nothing,left
12121211,right,right
12111212,right,down
12111212,down,down
12111212,right,up
12111212,down,nothing
12121222,left,up
12121222,down,right
12121112,left,nothing
12121112,left,up
12121112,up,right
11121221,right,nothing
11121222,right,up
12121222,left,right
11121222,right,right
12121222,left,down
11121222,left,nothing
11121221,down,up
12121112,left,left
21121111,up,up
12121211,nothing,nothing
12121211,down,down
12121111,up,up
12121211,left,nothing
12121211,left,right
12121211,up,nothing
12111211,right,down
12111211,up,up
12111211,left,nothing
