state,action,supervisor_action
11122212,up,nothing
11122212,left,up
11121212,down,down
12221112,right,up
12222212,left,left
12221112,nothing,left
12221112,right,left
12222212,up,up
11122212,right,right
11121212,left,right
11122212,nothing,up
11122212,left,left
11121212,down,down
12221112,down,nothing
12221112,left,nothing
12221112,left,left
12222211,up,down
11122211,up,right
11122211,left,right
11122211,left,right
11122211,down,right
12222211,right,up
12221112,nothing,down
12221112,nothing,right
12221112,down,up
12221112,nothing,up
12221112,nothing,right
12221112,down,up
12221112,left,up
12222211,down,nothing
12112211,nothing,down
12112211,up,right
12222211,down,left
12112211,right,down
12112211,nothing,right
12112211,right,left
12112211,left,left
12112211,down,left
12112211,down,up
12112211,up,nothing
12112211,left,up
12112211,right,nothing
12112211,right,down
12112211,down,down
12112211,up,right
12112211,down,up
12112211,up,left
12112211,left,right
12112211,right,down
12112211,left,left
12112211,left,up
12112211,nothing,up
12112211,right,right
12112211,nothing,nothing
12112211,up,nothing
12112211,right,left
12112211,right,down
12112211,up,right
12222211,nothing,nothing
12222211,down,left
12112211,up,right
12222211,up,up
11122211,left,down
11122211,down,left
12222211,left,left
12222211,down,up
12112211,down,up
12112211,left,nothing
12112211,right,up
12112211,left,left
12112211,up,down
12112211,down,nothing
12112211,left,left
12112211,nothing,left
12112211,up,nothing
12112211,left,left
12112211,left,up
12112211,left,up
12112211,left,nothing
12112211,nothing,down
12112211,left,left
12112211,left,left
12112211,up,left
12222211,up,nothing
11122211,nothing,right
11122211,up,nothing
11122211,right,nothing
11121212,up,nothing
11121212,right,right
11121212,nothing,right
11121212,right,down
11122212,down,down
12222212,nothing,down
12222212,left,right
12221112,right,right
12222212,right,right
12221212,left,down
12222212,nothing,right
12222212,up,down
11122212,up,left
11122212,right,left
11121212,nothing,up
11121212,right,right
11121212,down,right
12211112,up,down
11121212,up,right
11121212,left,down
11121212,up,up
11121212,right,nothing
11121212,right,up
11122112,up,down
11122112,left,right
11121212,right,left
11122112,left,right
11121212,nothing,left
11121212,right,nothing
11122112,up,left
11122112,nothing,up
11122112,nothing,nothing
11122112,down,nothing
12121112,up,nothing
11121212,nothing,up
11121212,right,up
11111212,left,nothing
11121212,up,nothing
11121212,left,up
11121212,right,nothing
11121212,up,up
11121212,nothing,up
11121212,down,left
12121112,up,up
11121212,right,down
11111212,nothing,nothing
11111212,right,left
11111212,right,up
11111212,right,up
11111212,nothing,left
11111212,right,left
11111212,nothing,down
11111212,up,up
11111212,left,down
11121212,nothing,nothing
11121212,nothing,nothing
11121212,down,right
12121112,up,up
11121212,nothing,left
11121212,left,right
11121212,right,right
11121212,down,left
12121112,up,up
11121212,left,up
11121212,nothing,left
11121212,down,left
12121112,left,nothing
12121212,up,up
11121212,up,left
11121212,down,up
12121212,down,up
12111212,right,left
12111212,down,down
12111221,nothing,up
12111221,down,nothing
12111212,nothing,down
12111212,down,down
12111212,down,down
12121222,left,right
22121222,left,up
11121222,down,right
12121112,right,nothing
22121112,right,left
12121112,right,right
12121112,left,nothing
12121112,left,right
22121112,nothing,down
22121112,right,down
12121112,down,down
12121112,nothing,up
12121112,up,nothing
12121222,right,left
11121222,left,down
12121222,up,left
12111212,down,nothing
12121222,nothing,down
12121222,nothing,up
12121222,left,left
22121222,down,nothing
22121112,up,nothing
22121222,left,nothing
11121222,left,left
11121221,up,nothing
11121221,down,left
12121112,left,left
21121111,down,right
21121111,left,down
21121111,right,down
12121112,right,nothing
12121112,up,left
11121222,down,nothing
12121112,nothing,nothing
12121112,right,nothing
22121112,right,up
12121112,right,nothing
12121112,right,up
12121112,right,nothing
12111112,right,right
12111112,left,right
12121112,nothing,up
