state,action,supervisor_action
12121211,down,down
12121211,right,down
12121212,down,left
12121212,down,left
12121212,down,down
12121212,down,right
12221212,right,right
12221212,right,right
12221212,right,right
12211212,right,right
11121212,up,left
11121212,left,left
12121212,right,down
11121212,right,down
11121212,right,down
11121212,right,down
22111212,up,up
22111211,up,up
22111211,up,up
22111211,up,up
22111212,up,up
22111212,up,up
22111212,up,up
21111211,up,up
22111211,up,up
22111211,up,up
22111212,up,up
22111212,up,up
21111212,up,up
12111211,right,down
12111211,right,down
12111211,down,up
12111212,down,left
12111212,down,down
12111212,down,down
12111211,down,down
12111211,down,down
12111211,down,up
12111212,down,left
12111212,down,up
12111212,down,up
12111211,down,up
12111211,down,down
12111211,down,up
12111212,down,up
12111212,down,up
12111212,left,up
12121112,left,left
12121112,left,up
12121112,left,right
12121212,left,up
12121212,down,left
12121212,down,right
12121212,down,up
12121212,down,left
12121212,down,up
12121212,down,down
12121212,down,left
12121212,down,left
12121112,left,up
12121112,left,right
12121112,left,up
12121111,right,right
12121112,left,left
12121111,right,right
12121112,left,up
12121111,right,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,left
12121112,nothing,left
12121112,nothing,up
12121112,nothing,up
12121112,nothing,left
12121112,nothing,left
12121112,nothing,left
12121112,nothing,up
12121112,nothing,right
12121112,nothing,right
12121112,nothing,up
12121112,nothing,left
12121112,nothing,left
12121112,nothing,left
12121112,nothing,left
12121112,nothing,left
12121112,nothing,up
12121112,nothing,left
12121112,nothing,left
12121112,nothing,up
12121112,nothing,right
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,left
12121112,nothing,left
12121112,nothing,left
12121112,nothing,left
12121112,nothing,left
12121112,nothing,up
12121112,nothing,right
12121112,nothing,right
12121112,nothing,up
12121112,nothing,right
12121112,nothing,left
12121112,nothing,left
12121112,nothing,left
12121112,nothing,up
12121112,nothing,right
12121112,nothing,left
12121112,nothing,left
12121112,nothing,left
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,up
12121112,nothing,left
12121112,nothing,left
12121112,nothing,up
12121112,nothing,right
12121112,nothing,right
12121112,nothing,left
12121112,nothing,up
12121112,nothing,left
12121112,nothing,left
12121112,nothing,up
12121112,nothing,right
12121112,nothing,right
12121112,nothing,up
12121112,nothing,left
12121112,nothing,left
12121112,nothing,up
12121112,nothing,right
12121112,nothing,right
12121112,nothing,up
12121112,nothing,left
12121112,nothing,left
12121112,nothing,up
12121112,nothing,up
12121112,nothing,right
12121112,nothing,left
12121112,nothing,up
12121112,nothing,right
12121112,nothing,up
12121112,nothing,left
12121112,nothing,up
12121112,nothing,right
12121112,nothing,left
12121112,nothing,up
12121112,nothing,right
12121112,nothing,left
12121112,nothing,up
12121112,nothing,right
12121112,nothing,up
12121112,nothing,left
12121112,nothing,up
12121112,nothing,right
12121112,nothing,right
