state,action,supervisor_action
11122211,down,down
12222211,down,down
12122211,down,down
12122211,down,down
12122211,down,down
12122111,down,down
12121211,down,down
12121111,right,up
12121112,up,right
12121212,up,left
12111212,right,down
12111212,up,down
12111212,up,down
12111212,up,down
12111212,up,down
12221212,up,right
11121212,left,down
11121211,left,down
11121211,left,down
11121211,down,right
12221211,up,right
11121211,down,down
12221211,right,right
12221212,up,right
11121212,right,down
11121212,down,left
12221112,right,right
12221112,up,right
11121212,right,left
11121212,down,left
12221112,right,right
12211112,up,right
11121212,right,left
11122112,down,down
12121212,right,right
12111212,up,down
11111212,right,left
11111212,down,down
12111212,down,up
12111212,left,left
12121211,right,up
12111212,right,left
12111212,left,left
12121211,up,right
12121212,right,up
12111212,right,left
12111212,down,left
12111212,up,up
12111212,up,up
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,left
11111212,up,left
11111212,up,down
11111212,up,left
11111212,up,down
11111212,up,down
11111212,up,down
