state,action,supervisor_action
11222211,down,down
12222211,down,down
12122211,down,down
12122211,down,down
12122111,down,down
12121211,right,down
12111212,left,down
12121211,up,down
12121211,right,down
12111212,left,down
12121211,right,down
12111212,down,left
12111212,left,left
12121211,down,right
12121211,right,down
12111212,up,left
12111212,down,up
12111212,left,down
12121211,down,down
12121211,right,right
12121212,right,right
11122212,down,down
12122212,down,down
12122212,down,down
12112212,down,down
12112212,down,down
12112212,down,down
12122212,down,down
12122212,down,down
12122212,down,down
12222212,down,down
12122212,down,down
12122212,down,down
12122212,down,down
12122212,down,down
12122212,down,down
12122212,down,down
12122212,down,down
12122212,down,down
12122212,down,down
12122112,down,down
12121212,up,right
12121212,up,up
12121212,left,left
12121212,left,right
12121211,right,right
12121212,up,up
12121212,left,right
12121211,up,down
12121211,up,right
12121211,right,right
12121212,up,right
12121212,left,left
12121211,right,right
12121212,down,right
12121212,left,up
12121211,up,up
12121211,up,up
12121211,down,right
12121211,right,down
12121212,up,right
12121212,left,down
12121211,right,up
12121212,down,down
12121212,down,right
12121212,up,left
12121212,up,right
12121212,up,up
12121212,down,left
12121212,down,up
12121212,right,down
12121212,down,right
12121212,up,down
12121212,right,left
12121212,right,right
12121212,up,left
12121212,right,up
12121212,down,down
12121212,down,right
12121212,left,right
12121212,up,down
12121212,up,left
12121212,right,right
12121212,up,right
12121212,down,down
12121212,right,up
12121212,up,left
12121212,up,down
12121212,down,up
12121212,left,down
12121212,up,up
12121212,up,left
12121212,right,up
12121212,left,right
12121212,down,down
12121212,down,down
12121212,up,up
12121212,right,left
12121212,down,up
12121212,right,right
12121212,right,down
12121212,right,left
12121212,left,down
12121212,down,right
12121212,left,left
12121212,up,left
12121212,left,right
12121212,down,right
12121212,left,right
12121212,up,down
12121212,left,left
12121212,down,up
12121212,left,down
12121212,up,left
12121212,left,up
12121212,down,up
12121212,left,up
12121212,up,up
12121212,left,down
12121211,up,down
12121211,down,up
12121211,up,down
12121211,up,right
12121211,down,up
12121211,right,up
12121212,right,left
12121212,right,down
12121212,right,up
12121212,left,down
12121212,down,right
12121212,left,up
12121212,up,left
12121212,left,right
12121212,down,down
12121212,left,down
12121211,right,right
12121212,left,right
12121211,up,down
12121211,down,up
12121211,down,up
12121211,down,up
12121211,down,down
12121211,down,right
12121211,up,up
12121211,up,down
12121211,right,down
12121212,left,right
12121211,down,up
12121211,right,up
12121212,right,right
12121212,right,right
12121212,down,down
12121212,up,left
12121212,left,right
12121212,right,right
12121212,left,right
12121212,left,up
12121212,left,down
12121211,up,right
12121211,right,down
12121212,up,up
12121212,up,right
12121212,down,down
12121212,left,up
12121211,right,up
12121212,up,down
12121212,right,up
12121212,left,up
12121212,right,left
12121212,left,up
12121212,right,left
12121212,right,down
12121212,left,down
12121212,left,up
12121212,right,up
12121212,down,up
12121212,down,right
12121212,down,left
12121212,left,left
12121212,left,right
12121211,down,down
12121211,up,up
12121211,up,up
12121211,up,right
12121211,down,down
12121211,right,up
12121212,right,down
12121212,down,up
12121212,right,down
12121212,left,up
12121212,right,right
12121212,right,left
12121212,up,right
12121212,right,down
12121212,down,down
12121212,down,left
12121112,left,up
12121112,right,up
12121112,up,up
12121212,up,up
12121212,down,up
12121212,down,up
12121112,left,up
12121112,right,left
12121112,up,up
12121212,up,left
12121212,down,right
12121212,down,left
12121112,left,up
12121112,right,up
12121112,up,right
12121212,up,right
12121212,down,left
12121212,down,up
12121112,left,right
12121112,right,right
12121112,up,up
12121212,up,down
12121212,down,right
12121212,down,right
12121112,left,up
12121112,right,left
12121112,up,up
12121212,up,right
12121212,down,right
12121212,down,down
12121112,left,left
12121112,right,right
12121112,up,up
12121212,up,left
12121212,down,up
12121212,down,down
12121112,left,right
12121112,right,up
12121112,up,right
12121212,up,down
12121212,down,right
12121212,down,right
12121112,left,left
12121112,right,left
12121112,up,right
12121212,up,left
12121212,down,down
12121212,down,right
12121112,left,right
12121112,right,left
12121112,up,up
12121212,up,up
12121212,down,down
12121212,down,down
12121112,left,left
12121112,right,up
12121112,up,up
12121212,up,down
12121212,down,up
12121212,down,right
12121112,left,right
12121112,right,up
12121112,up,up
12121212,up,up
12121212,down,right
12121212,down,up
12121112,left,left
12121112,right,right
12121112,up,right
12121212,up,left
12121212,down,left
12121212,down,down
12121112,left,right
12121112,right,up
12121112,up,up
12121212,up,left
12121212,down,right
12121212,down,down
12121112,left,up
12121112,right,up
12121112,up,right
12121212,up,right
12121212,down,left
12121212,down,up
12121112,left,right
12121112,right,up
12121112,up,up
12121212,up,right
12121212,down,up
12121212,down,left
12121112,left,left
12121112,right,right
12121112,up,left
12121212,up,left
12121212,down,up
12121212,down,up
12121112,left,right
12121112,right,right
12121112,up,right
12121212,up,right
12121212,down,up
12121212,down,right
12121112,left,left
12121112,right,left
12121112,up,left
12121212,up,right
12121212,down,left
12121212,down,down
12121112,left,right
12121112,right,left
12121112,up,right
12121212,up,right
12121212,down,right
12121212,down,left
12121112,left,up
12121112,right,right
12121112,up,right
12121212,up,up
12121212,down,left
12121212,down,left
12121112,left,left
12121112,right,left
12121112,up,up
12121212,up,down
12121212,down,right
12121212,down,up
12121112,left,left
12121112,right,left
12121112,up,up
12121212,up,up
12121212,down,left
12121212,down,left
12121112,left,right
12121112,right,up
12121112,up,right
12121212,up,down
12121212,down,down
12121212,down,up
12121112,left,left
12121112,right,right
12121112,up,left
12121212,up,up
12121212,down,right
12121212,down,down
12121112,left,left
12121112,right,left
12121112,up,right
12121212,up,left
12121212,down,down
12121212,down,right
12121112,left,up
12121112,right,right
12121112,up,up
12121212,up,right
12121212,down,down
12121212,down,left
12121112,left,up
12121112,right,left
12121112,up,up
12121212,up,up
12121212,down,right
12121212,down,up
12121112,left,left
12121112,right,up
12121112,up,right
12121212,up,up
12121212,down,right
12121212,down,up
12121112,left,up
12121112,right,up
12121112,up,right
12121212,up,down
12121212,down,up
12121212,down,right
12121112,left,left
12121112,right,right
12121112,up,up
12121212,up,down
12121212,down,right
12121212,down,left
12121112,left,left
12121112,right,up
12121112,up,right
12121212,up,right
12121212,down,left
12121212,down,up
12121112,left,right
12121112,right,up
12121112,up,right
12121212,up,right
12121212,down,up
12121212,down,right
12121112,left,left
12121112,right,left
12121112,up,left
12121212,up,left
12121212,down,down
12121212,down,right
12121112,left,right
12121112,right,right
12121112,up,up
12121212,up,right
12121212,down,down
12121212,down,up
12121112,left,up
12121112,right,left
12121112,up,left
12121212,up,down
12121212,down,up
12121212,down,left
12121112,left,up
12121112,right,right
12121112,up,right
12121212,up,up
12121212,down,down
12121212,down,left
12121112,left,up
12121112,right,up
12121112,up,left
12121212,up,up
12121212,down,up
12121212,down,down
12121112,left,up
12121112,right,right
12121112,up,left
12121212,up,down
12121212,down,left
12121212,down,up
12121112,left,up
12121112,right,right
12121112,up,up
12121212,up,right
12121212,down,up
12121212,down,up
12121112,left,left
12121112,right,up
