state,action,supervisor_action
12121211,down,right
12121211,down,right
12121211,down,right
12121211,down,right
12121211,down,right
12221211,down,right
12121211,down,right
12121211,down,right
12121211,down,right
12121211,down,right
12121211,down,right
12121211,down,right
12121211,down,right
12121211,down,right
12121211,down,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
12121112,left,right
12121111,right,right
