state,action,supervisor_action
12121212,up,up
12121222,left,left
22121222,up,up
22121211,up,up
22121211,up,up
22121211,up,up
21121211,up,up
12121212,up,up
11121212,right,down
11121212,right,down
11121212,right,down
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111212,down,left
12111112,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111212,up,left
12111222,down,left
12111212,down,left
12111212,down,left
