state,action,supervisor_action
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,down,down
12122212,down,down
12122212,down,down
12112212,down,down
12112212,down,down
12112111,down,down
12112211,down,down
12112211,down,down
12112212,down,down
12112212,down,down
12112112,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111222,left,left
11121221,left,left
11121212,left,left
11121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
12111212,down,down
12111212,down,down
12111212,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111212,down,down
12121212,down,down
12121212,down,down
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
22121112,up,up
22121212,up,up
22121212,up,up
22121211,up,up
22211211,up,up
22111211,up,up
22111211,up,up
22111211,up,up
22121211,up,up
22121211,up,up
22121211,up,up
21111211,up,up
22111211,up,up
22111211,up,up
22121211,up,up
22121211,up,up
22121211,up,up
21111211,up,up
22111211,up,up
22111211,up,up
22121211,up,up
22121211,up,up
22121211,up,up
21111211,up,up
12111211,up,up
12111211,up,up
12121211,up,up
12121211,up,up
12121212,up,up
12121212,up,up
11121212,down,down
12121212,down,down
12121212,down,down
12121211,down,down
12121211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12211211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111112,up,up
12111212,up,up
