state,action,supervisor_action
12121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22111212,up,up
22111212,up,up
21111211,up,up
22111211,up,up
22111211,up,up
22111212,up,up
22111212,up,up
21111212,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111212,up,up
12111212,up,up
12121212,up,up
12121212,up,up
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,down,down
12122212,down,down
12122212,down,down
12122211,down,down
12122111,down,down
12112211,down,down
12112211,down,down
12112211,down,down
12122211,down,down
12122211,down,down
12122111,down,down
12112211,down,down
12112211,down,down
12112211,down,down
12122211,down,down
12122211,down,down
12122111,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12211211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12111212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
12121211,down,down
12121211,down,down
12121212,down,down
12121212,down,down
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12221211,right,right
12221212,right,right
12221212,right,right
12221212,right,right
12211212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
12111212,down,down
12111212,down,down
12111212,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111212,down,down
12121212,down,down
12121212,down,down
12121112,up,up
12121212,up,up
12121212,up,up
12111212,up,up
12111212,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111212,up,up
12111212,up,up
12121212,up,up
12121212,up,up
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111112,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
11111212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121111,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12111112,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111112,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
12111212,up,up
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
