state,action,supervisor_action
11121212,down,down
12221212,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121211,down,down
12121222,down,down
12121112,left,left
12121112,left,left
12121112,left,left
21121111,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
21121111,up,up
12121211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12221211,up,up
11121211,down,down
12221211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12121211,down,down
12121111,up,up
12121211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12221211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,left,left
11122112,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,left,left
11122112,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,left,left
11122112,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,down,down
12111221,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111112,up,up
12111212,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111221,up,up
11111212,down,down
12111221,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111112,up,up
12111212,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111221,up,up
11111212,down,down
12111221,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111112,up,up
12111212,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111221,up,up
11111212,left,left
11122112,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121211,down,down
12221211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12121211,down,down
12121111,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12221211,up,up
11121211,down,down
12221211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12121211,down,down
12121111,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12221211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,left,left
11122112,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,left,left
11122112,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121211,down,down
12221211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12121211,down,down
12121111,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12221211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,left,left
11122112,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,down,down
12111221,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12221211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,left,left
11122112,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121211,down,down
