state,action,supervisor_action
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
11122212,up,right
