state,action,supervisor_action
11122212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11112212,down,down
12112221,down,down
12112211,down,down
12112211,down,down
12112211,down,down
12112111,down,down
12111212,down,down
12111112,down,left
12111112,left,left
12121112,left,left
12121112,left,left
11121112,left,right
11121112,left,right
12121112,left,left
12121112,left,left
21121111,up,up
12121211,up,up
12111211,up,down
12111211,up,down
12111211,up,down
12111211,up,down
12221211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,down,down
12111221,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
11121112,left,right
11121112,left,right
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12111211,up,down
12111211,up,down
12111211,up,down
12111211,up,down
12221211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,down,down
12111221,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
11121112,left,right
11121112,left,right
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12111211,up,down
12111211,up,down
12111211,up,down
12111211,up,down
12221211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,down,down
12111221,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
11121112,left,right
11121112,left,right
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12111211,up,down
12111211,up,down
12111211,up,down
12111211,up,down
12221211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,down,down
12111221,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
11121112,left,right
11121112,left,right
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12111211,up,down
12111211,up,down
12111211,up,down
12111211,up,down
12221211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,down,down
12111221,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
11121112,left,right
11121112,left,right
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12111211,up,down
12111211,up,down
12111211,up,down
12111211,up,down
12221211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,down,down
12111221,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
11121112,left,right
11121112,left,right
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12111211,up,down
12111211,up,down
12111211,up,down
12111211,up,down
12221211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,down,down
12111221,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
11121112,left,right
11121112,left,right
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12111211,up,down
12111211,up,down
12111211,up,down
12111211,up,down
12221211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,down,down
12111221,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
11121112,left,right
11121112,left,right
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12111211,up,down
12111211,up,down
12111211,up,down
12111211,up,down
12221211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,down,down
12111221,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
11121112,left,right
11121112,left,right
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12111211,up,down
12111211,up,down
12111211,up,down
12111211,up,down
12221211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,down,down
12111221,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
11121112,left,right
11121112,left,right
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12111211,up,down
12111211,up,down
12111211,up,down
12111211,up,down
12221211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,down,down
12111221,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
11121112,left,right
11121112,left,right
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12111211,up,down
12111211,up,down
12111211,up,down
12111211,up,down
12221211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,down,down
12111221,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
11121112,left,right
11121112,left,right
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12111211,up,down
12111211,up,down
12111211,up,down
12111211,up,down
12221211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,down,down
12111221,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
11121112,left,right
11121112,left,right
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12111211,up,down
12111211,up,down
12111211,up,down
12111211,up,down
12221211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
11122112,right,right
11111212,down,down
12111221,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,down,down
12111112,left,left
12121112,left,left
12121112,left,left
11121112,left,right
11121112,left,right
12121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12111211,up,down
12111211,up,down
12111211,up,down
12111211,up,down
12221211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11122212,right,right
11121212,right,right
11121212,right,right
