state,action,supervisor_action
11222211,right,right
11221212,right,right
11221212,right,right
11221212,right,right
11211212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
12121212,right,right
12121212,right,right
12112212,down,down
12112212,down,down
12112212,down,down
12112212,down,down
12112212,down,down
12112212,down,down
12112212,down,down
12112212,down,down
12112222,down,down
12112212,down,down
12112212,down,down
12112212,down,down
12112212,down,down
12112212,down,down
12112212,down,down
12112212,down,down
12112212,down,down
12112212,down,down
12112212,down,down
12112122,down,down
12121222,right,right
11121222,right,right
11121222,right,right
11121222,right,right
11121222,right,right
11121222,right,right
11121222,right,right
11121222,right,right
11121222,right,right
11121222,right,right
22121222,right,right
22121222,right,right
12111222,down,down
12111212,down,down
12111112,left,left
22121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
22121112,left,left
12121112,left,left
22121111,up,up
22121211,up,up
22221211,up,up
22221211,up,up
22121211,up,up
22121211,up,up
22121211,up,up
22121211,up,up
22121211,up,up
22121211,up,up
22121211,up,up
22121211,up,up
22121211,up,up
22121211,up,up
22221211,up,up
22121211,up,up
22121211,up,up
22121211,up,up
22121211,up,up
22121211,up,up
22121211,up,up
22121211,up,up
22121211,up,up
21121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
12121212,right,right
12121212,right,right
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111222,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111222,down,down
12121222,right,right
11121222,right,right
11121222,right,right
11121222,right,right
11121222,right,right
11121222,right,right
11121222,right,right
11121222,right,right
11121222,right,right
11121222,right,right
22121222,right,right
22121222,right,right
12111222,down,down
12111212,down,down
12111112,left,left
22121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
22121112,left,left
12121112,left,left
12121111,up,up
12121211,up,up
12221211,up,up
12221211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12221211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
12121211,up,up
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
12111212,down,down
