state,action,supervisor_action
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
11121212,left,right
11122211,right,right
