state,action,supervisor_action
12121212,right,right
12121212,right,right
12111212,down,down
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
22121211,down,down
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,down
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
22121211,down,down
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,down
12111212,left,left
12121212,left,left
12121212,left,left
22121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
22121211,down,down
22121111,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
22121112,right,right
12121112,right,right
12121112,right,right
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
22121212,right,right
12121212,right,right
12121212,right,right
12111212,down,up
12111112,left,left
12121112,left,left
12121112,left,left
22121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
22121111,up,up
22121211,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
