state,action,supervisor_action
11222211,down,right
12222211,right,right
12221212,right,right
12221112,right,right
12221112,right,right
12211112,right,right
12121112,right,right
12121112,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12111212,down,left
12111212,left,left
12121212,left,left
12121212,left,left
12121211,down,right
12121211,right,right
12121212,right,right
12121212,right,right
12111212,down,left
12111212,left,left
12121212,left,left
12121212,left,left
12121211,down,right
12121211,right,right
12121212,right,right
12121212,right,right
12111212,down,left
12111212,left,left
12121212,left,left
12121212,left,left
12121211,down,right
12121212,right,right
12121212,right,right
12121212,right,right
12111212,down,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12122212,left,left
12121212,left,left
22121211,down,right
22121211,right,right
12121212,right,right
12122212,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12112212,down,left
12112212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12112212,up,left
12112212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121212,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12122212,left,left
12121212,left,left
22121211,up,right
22121211,right,right
12121212,right,right
12122212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
12121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
12121212,right,right
12121212,right,right
12112212,up,left
12112212,left,left
12121212,left,left
