state,action,supervisor_action
11121212,left,left
11121212,left,left
11121212,left,left
11122211,down,right
12222211,right,right
12221112,right,right
12221112,right,right
12221212,right,right
12221212,right,right
12211112,right,right
12121112,right,right
12111212,down,left
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111222,left,left
11121222,left,left
11121222,left,left
12121222,left,left
12121222,left,left
11121222,left,left
11121221,left,left
12121211,down,right
12121111,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,up,right
12121211,right,right
11121212,right,right
11121212,right,right
12121212,right,right
12121212,right,right
11121212,right,right
11121212,right,right
12111212,up,left
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111212,left,left
12121112,left,left
12121112,left,left
12121212,left,left
12121212,left,left
12121112,left,left
12121112,left,left
12121211,up,right
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121211,down,right
12121211,right,right
12121112,right,right
12121112,right,right
12121212,right,right
12121212,right,right
12121112,right,right
12121112,right,right
12111212,down,left
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,left,left
11121212,left,left
11121212,left,left
12121212,left,left
12121212,left,left
11121212,left,left
11121212,left,left
12121211,down,right
12121111,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,up,right
12121211,right,right
11121212,right,right
11121212,right,right
12121212,right,right
12121212,right,right
11121212,right,right
11121212,right,right
12111212,up,left
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111212,left,left
12121112,left,left
12121112,left,left
12121212,left,left
12121212,left,left
12121112,left,left
12121112,left,left
12121211,up,right
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121211,down,right
12121211,right,right
12121112,right,right
12121112,right,right
12121212,right,right
12121212,right,right
12121112,right,right
12121112,right,right
12111212,down,left
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,left,left
11121212,left,left
11121212,left,left
12121212,left,left
12121212,left,left
11121212,left,left
11121212,left,left
12121211,down,right
12121111,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,up,right
12121211,right,right
11121212,right,right
11121212,right,right
12121212,right,right
12121212,right,right
11121212,right,right
11121212,right,right
12111212,up,left
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111212,left,left
12121112,left,left
12121112,left,left
12121212,left,left
12121212,left,left
12121112,left,left
12121112,left,left
12121211,up,right
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121211,down,right
12121211,right,right
12121112,right,right
12121112,right,right
12121212,right,right
12121212,right,right
12121112,right,right
12121112,right,right
12111212,down,left
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,left,left
11121212,left,left
11121212,left,left
12121212,left,left
12121212,left,left
11121212,left,left
11121212,left,left
12121211,down,right
12121111,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,up,right
12121211,right,right
11121212,right,right
11121212,right,right
12121212,right,right
12121212,right,right
11121212,right,right
11121212,right,right
12111212,up,left
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111212,left,left
12121112,left,left
12121112,left,left
12121212,left,left
12121212,left,left
12121112,left,left
12121112,left,left
12121211,up,right
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121211,down,right
12121211,right,right
12121112,right,right
12121112,right,right
12121212,right,right
12121212,right,right
12121112,right,right
12121112,right,right
12111212,down,left
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,left,left
11121212,left,left
11121212,left,left
12121212,left,left
12121212,left,left
11121212,left,left
11121212,left,left
12121211,down,right
12121111,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12121112,right,right
12111112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121112,left,left
12121111,up,right
12121211,right,right
11121212,right,right
11121212,right,right
12121212,right,right
12121212,right,right
11121212,right,right
11121212,right,right
12111212,up,left
12111211,up,up
12111211,up,up
12111211,up,up
12111211,up,up
12111212,left,left
12121112,left,left
12121112,left,left
12121212,left,left
12121212,left,left
12121112,left,left
12121112,left,left
12121211,up,right
11121211,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11121212,right,right
11111212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121212,left,left
11121211,down,right
12121211,right,right
12121112,right,right
12121112,right,right
12121212,right,right
12121212,right,right
12121112,right,right
12121112,right,right
12111212,down,left
12111211,down,down
12111211,down,down
12111211,down,down
12111211,down,down
12111212,left,left
11121212,left,left
11121212,left,left
12121212,left,left
12121212,left,left
11121212,left,left
11121212,left,left
12121211,down,right
12121111,right,right
