down|down,down|left,down|nothing,down|right,down|up,left|down,left|left,left|nothing,left|right,left|up,model,nothing|down,nothing|left,nothing|nothing,nothing|right,nothing|up,right|down,right|left,right|nothing,right|right,right|up,up|down,up|left,up|nothing,up|right,up|up
3,51,0,39,1,40,293,0,23,50,ZigZag_agent_DiscreteDBN_m0,0,0,0,0,0,52,15,0,300,40,0,47,0,45,0
0,51,0,39,0,39,306,0,25,39,ZigZag_expert_DiscreteDBN_m0,0,0,0,0,0,52,0,0,306,51,0,52,0,39,0
6,18,15,99,57,90,102,16,0,52,FixedSequence_agent_DiscreteDBN_m0,0,14,18,0,51,0,17,18,82,64,99,110,15,0,56
100,0,0,200,0,200,0,0,0,0,FixedSequence_expert_DiscreteDBN_m0,0,0,0,0,0,0,0,0,0,200,0,199,0,0,100
50,60,1,60,92,46,46,1,96,49,SmartRandom_agent_DiscreteDBN_m0,2,2,0,2,1,70,70,3,49,53,95,60,2,38,51
55,65,0,53,83,44,50,0,87,65,SmartRandom_expert_DiscreteDBN_m0,0,0,0,0,0,64,79,0,53,51,94,51,0,54,51
216,0,0,36,0,36,212,0,0,1,WallFollower_agent_DiscreteDBN_m0,0,0,0,0,0,0,1,0,216,35,0,35,1,0,210
216,0,0,36,0,36,215,0,0,0,WallFollower_expert_DiscreteDBN_m0,0,0,0,0,0,0,0,0,216,35,0,35,0,0,210
26,38,48,31,35,38,32,43,36,42,Random_agent_DiscreteDBN_m0,42,39,43,44,56,30,38,39,33,47,42,44,51,43,39
34,46,43,47,42,41,34,37,34,49,Random_expert_DiscreteDBN_m0,48,46,42,29,36,34,36,41,33,39,55,33,37,40,43
228,9,0,11,20,8,198,0,15,11,SmartStraightLine_agent_DiscreteDBN_m0,0,0,0,0,0,15,13,0,200,10,17,13,0,11,220
228,9,0,11,17,7,198,0,17,9,SmartStraightLine_expert_DiscreteDBN_m0,0,0,0,0,0,8,15,0,202,12,23,9,0,6,228
42,16,1,16,16,15,9,2,8,17,SmartRandomExplorer_agent_DiscreteDBN_m0,3,0,708,2,1,16,17,0,14,11,16,9,2,18,40
87,47,0,45,78,59,54,0,85,45,SmartRandomExplorer_expert_DiscreteDBN_m0,0,0,0,0,0,50,84,0,62,52,61,58,0,56,76
0,41,0,24,0,24,371,0,5,38,ZigZag_agent_DiscreteDBN_m1,0,1,0,0,1,41,0,0,374,20,0,25,2,32,0
0,27,0,31,0,31,380,0,0,32,ZigZag_expert_DiscreteDBN_m1,0,0,0,0,0,27,9,0,376,27,0,27,0,32,0
