down,left,model,nothing,right,up
95,406,ZigZag_agent_DiscreteDBN_m0,0,407,92
91,409,ZigZag_expert_DiscreteDBN_m0,0,409,91
195,261,FixedSequence_agent_DiscreteDBN_m0,83,181,280
300,200,FixedSequence_expert_DiscreteDBN_m0,0,200,300
263,238,SmartRandom_agent_DiscreteDBN_m0,7,245,247
257,246,SmartRandom_expert_DiscreteDBN_m0,0,247,250
252,249,WallFollower_agent_DiscreteDBN_m0,1,252,246
252,251,WallFollower_expert_DiscreteDBN_m0,0,252,245
179,191,Random_agent_DiscreteDBN_m0,224,187,219
212,195,Random_expert_DiscreteDBN_m0,201,183,209
268,233,SmartStraightLine_agent_DiscreteDBN_m0,0,238,261
266,231,SmartStraightLine_expert_DiscreteDBN_m0,0,237,266
92,51,SmartRandomExplorer_agent_DiscreteDBN_m0,714,58,85
258,243,SmartRandomExplorer_expert_DiscreteDBN_m0,0,248,251
65,439,ZigZag_agent_DiscreteDBN_m1,2,435,59
58,444,ZigZag_expert_DiscreteDBN_m1,0,439,59
240,266,FixedSequence_agent_DiscreteDBN_m1,90,185,219
300,200,FixedSequence_expert_DiscreteDBN_m1,0,200,300
262,237,SmartRandom_agent_DiscreteDBN_m1,0,237,264
251,252,SmartRandom_expert_DiscreteDBN_m1,0,248,249
292,207,WallFollower_agent_DiscreteDBN_m1,0,202,299
292,207,WallFollower_expert_DiscreteDBN_m1,0,202,299
196,189,Random_agent_DiscreteDBN_m1,216,202,197
190,196,Random_expert_DiscreteDBN_m1,201,201,212
260,240,SmartStraightLine_agent_DiscreteDBN_m1,0,233,267
273,228,SmartStraightLine_expert_DiscreteDBN_m1,0,221,278
35,31,SmartRandomExplorer_agent_DiscreteDBN_m1,870,28,36
282,218,SmartRandomExplorer_expert_DiscreteDBN_m1,0,211,289
129,374,ZigZag_agent_DiscreteDBN_m2,0,371,126
104,399,ZigZag_expert_DiscreteDBN_m2,0,399,98
213,260,FixedSequence_agent_DiscreteDBN_m2,0,258,269
300,200,FixedSequence_expert_DiscreteDBN_m2,0,200,300
271,232,SmartRandom_agent_DiscreteDBN_m2,0,232,265
278,221,SmartRandom_expert_DiscreteDBN_m2,0,223,278
497,7,WallFollower_agent_DiscreteDBN_m2,0,4,492
497,7,WallFollower_expert_DiscreteDBN_m2,0,4,492
202,186,Random_agent_DiscreteDBN_m2,201,193,218
217,190,Random_expert_DiscreteDBN_m2,202,195,196
238,260,SmartStraightLine_agent_DiscreteDBN_m2,1,262,239
287,212,SmartStraightLine_expert_DiscreteDBN_m2,0,214,287
0,0,SmartRandomExplorer_agent_DiscreteDBN_m2,1000,0,0
293,206,SmartRandomExplorer_expert_DiscreteDBN_m2,0,208,293
146,328,ZigZag_agent_DiscreteDBN_m3,48,331,147
56,448,ZigZag_expert_DiscreteDBN_m3,0,447,49
188,222,FixedSequence_agent_DiscreteDBN_m3,89,254,247
300,200,FixedSequence_expert_DiscreteDBN_m3,0,200,300
284,210,SmartRandom_agent_DiscreteDBN_m3,37,209,260
262,242,SmartRandom_expert_DiscreteDBN_m3,0,239,257
4,484,WallFollower_agent_DiscreteDBN_m3,8,496,8
7,496,WallFollower_expert_DiscreteDBN_m3,0,497,0
200,185,Random_agent_DiscreteDBN_m3,184,216,215
185,194,Random_expert_DiscreteDBN_m3,187,228,206
277,203,SmartStraightLine_agent_DiscreteDBN_m3,29,206,285
283,217,SmartStraightLine_expert_DiscreteDBN_m3,0,221,279
87,89,SmartRandomExplorer_agent_DiscreteDBN_m3,652,89,83
303,200,SmartRandomExplorer_expert_DiscreteDBN_m3,0,201,296
108,393,ZigZag_agent_DiscreteDBN_m4,0,392,107
101,402,ZigZag_expert_DiscreteDBN_m4,0,399,98
230,234,FixedSequence_agent_DiscreteDBN_m4,61,244,231
300,200,FixedSequence_expert_DiscreteDBN_m4,0,200,300
265,236,SmartRandom_agent_DiscreteDBN_m4,0,235,264
263,239,SmartRandom_expert_DiscreteDBN_m4,0,236,262
497,7,WallFollower_agent_DiscreteDBN_m4,0,4,492
497,7,WallFollower_expert_DiscreteDBN_m4,0,4,492
235,172,Random_agent_DiscreteDBN_m4,200,192,201
209,215,Random_expert_DiscreteDBN_m4,189,194,193
284,220,SmartStraightLine_agent_DiscreteDBN_m4,0,217,279
244,255,SmartStraightLine_expert_DiscreteDBN_m4,0,259,242
141,76,SmartRandomExplorer_agent_DiscreteDBN_m4,567,80,136
289,212,SmartRandomExplorer_expert_DiscreteDBN_m4,0,210,289
52,437,ZigZag_agent_DiscreteDBN_m5,2,459,50
47,465,ZigZag_expert_DiscreteDBN_m5,0,469,19
233,220,FixedSequence_agent_DiscreteDBN_m5,115,155,277
300,200,FixedSequence_expert_DiscreteDBN_m5,0,200,300
271,220,SmartRandom_agent_DiscreteDBN_m5,16,245,248
261,228,SmartRandom_expert_DiscreteDBN_m5,0,258,253
236,244,WallFollower_agent_DiscreteDBN_m5,141,186,193
262,240,WallFollower_expert_DiscreteDBN_m5,0,258,240
208,167,Random_agent_DiscreteDBN_m5,220,207,198
199,222,Random_expert_DiscreteDBN_m5,200,189,190
233,245,SmartStraightLine_agent_DiscreteDBN_m5,42,271,209
320,180,SmartStraightLine_expert_DiscreteDBN_m5,0,180,320
109,91,SmartRandomExplorer_agent_DiscreteDBN_m5,603,98,99
270,232,SmartRandomExplorer_expert_DiscreteDBN_m5,0,233,265
92,400,ZigZag_agent_DiscreteDBN_m6,9,403,96
45,440,ZigZag_expert_DiscreteDBN_m6,0,464,51
196,192,FixedSequence_agent_DiscreteDBN_m6,65,288,259
300,200,FixedSequence_expert_DiscreteDBN_m6,0,200,300
272,228,SmartRandom_agent_DiscreteDBN_m6,6,233,261
273,231,SmartRandom_expert_DiscreteDBN_m6,0,237,259
240,240,WallFollower_agent_DiscreteDBN_m6,0,265,255
240,240,WallFollower_expert_DiscreteDBN_m6,0,265,255
228,178,Random_agent_DiscreteDBN_m6,191,183,220
214,198,Random_expert_DiscreteDBN_m6,186,198,204
252,245,SmartStraightLine_agent_DiscreteDBN_m6,17,249,237
